Movie,Year,Gross,Ratings,Budget,Screens,Views,Likes,Dislikes,Comments,Aggregate Followers
The Lego Movie,2014,258000000,7.8,60000000,3775,439159,1847,105,289,4690000
The Loft,2014,5980000,6.3,14000000,1841,381071,238,27,43,14586
The Maze Runner,2014,102000000,6.8,34000000,173,3156436,18124,213,2753,4734000
The Monuments Men,2014,78000000,6.1,70000000,3083,10649,21,1,0,3849
The November Man,2014,25000000,6.3,15000000,2776,1935432,3089,155,567,148000
The Nut Job,2014,64200000,5.8,42000000,3427,2269032,3046,546,554,
The One I Love,2014,512000,7.1,100000,20,1223891,1309,148,239,226000
The Other Woman,2014,83900000,6,40000000,3205,8479994,35071,2233,3479,2731000
The Purge: Anarchy,2014,71500000,6.5,9000000,2805,1142295,3895,193,882,49424
The Pyramid,2014,2750000,4.7,6500000,685,4092871,8781,794,2046,420000
The Rover,2014,1110000,6.4,12250000,5,702,1,0,1,9842
The Salvation,2014,5000,6.8,11712310.56,2,253631,170,11,58,
The Theory of Everything,2014,35900000,7.8,15000000,15,3226251,18240,261,2104,8204
The Water Diviner,2014,4190000,7.2,22500000,320,3281842,4968,445,2099,1899400
The Woman in Black 2: Angel of Death,2014,26500000,4.9,1000000,2602,698,16,1,9,3086
Think Like a Man Too,2014,65200000,5.7,24000000,2225,2063089,5858,336,346,24388000
Transcendence,2014,23000000,6.3,100000000,3455,14141585,36646,1459,6811,5987
Transformers: Age of Extinction,2014,245000000,5.8,210000000,4233,170909,791,362,230,2814900
Tusk,2014,1820000,5.4,2800000,449,473100,670,104,380,180100
Unbroken,2014,116000000,7.2,65000000,3131,6637551,19833,815,3403,269000
Veronica Mars,2014,3320000,6.8,6000000,291,476747,2079,166,232,2536000
When the Game Stands Tall,2014,30100000,6.6,15000000,794,280566,477,56,82,585000
Whiplash,2014,13100000,8.6,3300000,42,7750223,17541,631,2760,858000
White God,2014,280000,6.9,2487820.27,2,166612,571,36,70,
Wild,2014,37900000,7.2,15000000,1061,5976092,9343,649,1333,781200
Wild Tales,2014,3080000,8.2,3300000,4,697105,1023,39,429,
Winter's Tale,2014,22500,6.2,60000000,2965,719976,1312,76,189,1810000
Wish I Was Here,2014,3590000,6.7,6000000,68,865690,1375,79,67,1818778
X-Men: Days of Future Past,2014,234000000,8.1,200000000,3996,2285,9,0,1,10280000
Yves Saint Laurent,2014,717000,6.2,12000000,2,550734,894,44,77,168700
Jurassic World,2015,643000000,7.3,150000000,4274,9143740,34746,1074,5107,6180000
Avengers: Age of Ultron,2015,458000000,7.8,250000000,4276,10366624,31552,989,3843,10070000
Furious 7,2015,350000000,7.4,190000000,4004,59056,330,8,39,11890000
Inside Out,2015,345000000,8.6,175000000,3946,1438926,4632,262,496,232000
Minions,2015,325000000,6.6,74000000,4301,1341909,1607,764,48,250000
Pitch Perfect 2,2015,183000000,6.7,29000000,3473,9214467,39824,998,1987,7336000
Mission: Impossible - Rogue Nation,2015,171000000,7.8,150000000,3956,8748596,20352,649,1842,6605000
Home,2015,177000000,6.7,135000000,3708,10341783,24413,1675,3426,5070000
Fifty Shades of Grey,2015,166000000,4.2,40000000,3646,31859569,49900,13960,9119,946000
The SpongeBob Movie: Sponge Out of Water,2015,162000000,6.1,74000000,3641,5536822,29411,1840,1281,184000
San Andreas,2015,154000000,6.4,110000000,3777,12632836,36508,2210,7559,9737600
Mad Max: Fury Road,2015,153000000,8.3,150000000,3702,2732371,13030,497,1774,768700
Straight Outta Compton,2015,135000000,8.3,28000000,2757,848970,12607,237,1560,55618
Insurgent,2015,130000000,6.4,110000000,3875,2834800,5664,5746,66,4240000
Spy,2015,110000000,7.3,65000000,3711,6649290,20750,750,1666,265000
Trainwreck,2015,105000000,6.7,35000000,3158,9511288,19903,2581,2955,2014000
Tomorrowland,2015,93200000,6.6,190000000,3972,999867,4212,66,250,1198000
Get Hard,2015,90400000,6.1,40000000,3175,10078326,26565,1418,2395,2939000
Terminator Genisys,2015,89400000,6.8,155000000,3758,84870,265,13,63,3877901
Ted 2,2015,81300000,6.6,68000000,3442,6711914,29903,984,1767,10988000
Paul Blart: Mall Cop 2,2015,71000000,4.3,30000000,90,2389347,8809,935,892,1618000
Pixels,2015,71000000,5.6,88000000,3723,5340100,26134,2007,3717,2466000
Magic Mike XXL,2015,65900000,6.2,14800000,3355,5128288,18475,858,1579,8392000
The Wedding Ringer,2015,64500000,6.7,23000000,3003,4826940,10521,478,755,2284000
Vacation,2015,54900000,6.3,31000000,3411,2554327,10062,464,871,2347000
Fantastic Four,2015,52700000,4,120000000,3995,7560211,24168,3524,7139,881000
Poltergeist,2015,47400000,5,35000000,3240,3651828,13998,969,2205,1066
Jupiter Ascending,2015,47400000,5.5,176000000,3181,3920842,10535,565,1668,7460000
The Age of Adaline,2015,42500000,7.3,25000000,2991,11036701,50002,1005,3525,776000
Max,2015,41900000,7,20000000,2855,2947239,19201,625,1842,2113
The Longest Ride,2015,37400000,7.2,34000000,3366,2393017,13291,369,584,324925
The Gift,2015,36100000,7.6,5000000,1648,2513544,6970,270,1105,1655987
The Boy Next Door,2015,35400000,4.6,4000000,2602,5588384,15144,913,1499,4599000
Hot Pursuit,2015,34500000,5,35000000,3003,6964819,26601,1111,1293,1630000
The DUFF,2015,34000000,6.6,8500000,2575,12792898,56001,2083,4102,6714000
Woman in Gold,2015,33300000,7.4,11000000,258,6495,82,3,7,675000
Entourage,2015,32400000,7.1,30000000,3108,1841293,5879,314,634,788000
Paper Towns,2015,31400000,6.9,12000000,3031,2854910,23254,459,1087,4184000
The Lazarus Effect,2015,25800000,5.2,3300000,2666,4442147,10605,691,2739,2007000
Sinister 2,2015,19000000,5.5,10000000,2766,11037833,36874,1885,4360,5699
Ricki and the Flash,2015,23500000,6.1,18000000,1603,638374,4018,130,269,1887
Project Almanac,2015,22300000,6.4,12000000,2893,6646785,16041,955,2787,253499
Hitman: Agent 47,2015,16100000,5.9,35000000,3261,13154873,46684,3565,8578,209000
Dope,2015,16800000,7.5,700000,2002,50444,238,3,28,986572
Hot Tub Time Machine 2,2015,12300000,5.1,14000000,2880,11496,194,9,31,1891977
American Ultra,2015,10900000,6.5,28000000,2778,2996539,1874,32,189,155000
The Gunman,2015,10600000,5.8,40000000,2816,3098749,4311,341,881,1520000
Mortdecai,2015,7610000,5.5,60000000,2648,3850758,13363,453,1276,3045000
Blackhat,2015,7100000,5.4,70000000,2567,2409338,6923,340,714,1334000
Me and Earl and the Dying Girl,2015,6740000,8.2,8000000,34,4032265,18398,302,1298,2208
The Vatican Tapes,2015,1710000,4.5,8495000,420,1364537,3824,689,772,3841
Maggie,2015,131000,5.6,4500000,79,5085068,14359,600,2468,3744000
Americons,2015,129000,7.3,4000000,14,63724,115,28,14,129000
Road Hard,2015,106000,6.3,1500000,22,44963,109,27,42,1188000
