Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year
DRH37,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
NCI17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDJ58,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDL12,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDH35,Low Fat,Starchy Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDG02,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCZ18,low fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDC29,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ10,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDN48,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDL04,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDV25,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDD58,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDN04,reg,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV45,low fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCL18,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985
FDR12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG20,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ55,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDQ49,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDN33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDN27,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW20,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
DRG27,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRI25,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDA44,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
NCR17,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDU04,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDF41,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDB56,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
NCP18,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB56,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT28,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDD10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW57,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRB48,Regular,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDP09,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDH14,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDA47,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDG12,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
DRE60,low fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
DRK49,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDD03,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDS52,low fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDW39,Regular,Meat,OUT019,Small,Tier 1,Grocery Store,1985
FDX34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV11,Regular,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
FDD17,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDZ16,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ46,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
DRA12,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDY58,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCF19,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
DRJ13,LF,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDB14,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998
FDJ38,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDW11,Low Fat,Breads,OUT017,-,Tier 2,Supermarket Type1,2007
FDL40,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
DRI49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV38,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
DRG23,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
NCP30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDY25,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCH54,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
NCR53,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDS52,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
FDG02,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCO26,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDH35,Low Fat,Starchy Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB51,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDX44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
NCN07,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998
NCC31,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
NCX54,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
NCO55,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type1,2002
NCC30,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDI16,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDP16,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDB11,Low Fat,Starchy Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCB06,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDA45,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCO26,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
DRJ25,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDR28,reg,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI04,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRK12,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDX20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
NCI18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB36,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDN13,Low Fat,Breakfast,OUT017,-,Tier 2,Supermarket Type1,2007
DRD24,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDQ28,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDM22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDR07,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV25,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRF49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDW51,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
DRL01,Regular,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDP25,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
FDL50,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCB30,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW11,Low Fat,Breads,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCM43,Low Fat,Others,OUT035,Small,Tier 2,Supermarket Type1,2004
FDK44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDM15,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDS31,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDI32,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDR47,LF,Breads,OUT010,-,Tier 3,Grocery Store,1998
FDB35,Regular,Starchy Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCU05,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998
DRY23,Regular,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
FDO24,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDQ28,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV39,Low Fat,Meat,OUT045,-,Tier 2,Supermarket Type1,2002
NCO17,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
FDU50,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDT12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDK58,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO08,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
NCW29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDE04,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCB19,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDV15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDL58,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDA08,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDT43,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCX06,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDT20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDB41,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCN55,Low Fat,Others,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDE40,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDX49,reg,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCM53,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDE36,Regular,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN57,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDI24,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDI19,Low Fat,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
FDF24,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
FDG52,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRF36,LF,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDS45,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDX40,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
DRK12,LF,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
DRC27,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDL58,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
NCD30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
NCZ54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDE10,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDR44,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDP28,Regular,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
FDX15,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDA39,LF,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY24,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDC60,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDH28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT25,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
DRJ13,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
NCO07,Low Fat,Others,OUT019,Small,Tier 1,Grocery Store,1985
FDW20,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
DRF27,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985
FDS49,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDX25,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCX42,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG33,Regular,Seafood,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL56,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDF14,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
NCD06,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
DRM47,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDS46,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDB35,Regular,Starchy Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDX21,LF,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCU05,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCR38,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
NCR18,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
NCU41,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY56,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
DRJ51,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDK21,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY25,Low Fat,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDU44,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDL43,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDF05,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRF15,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985
FDL20,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDV32,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDJ34,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDG08,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDQ04,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDW13,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCI17,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDY03,Regular,Meat,OUT045,-,Tier 2,Supermarket Type1,2002
FDS12,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDJ55,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
DRK01,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDG28,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDY38,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDN01,Low Fat,Breakfast,OUT045,-,Tier 2,Supermarket Type1,2002
NCR54,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDG29,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDG24,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDG59,Low Fat,Starchy Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDM28,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDW04,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDS26,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDQ56,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDK51,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDL22,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDH19,Low Fat,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY55,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDY03,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDK21,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDZ10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ32,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCZ18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
NCF07,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRE49,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDJ08,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
FDT39,Regular,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
FDE08,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
NCD06,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB57,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
NCT54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRF49,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDM25,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDF20,low fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDH27,Low Fat,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDV60,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY59,Low Fat,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDK36,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCM31,Low Fat,Others,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE33,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDU36,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV13,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV20,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
NCQ54,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDO23,Low Fat,Breads,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRE60,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
DRP47,Low Fat,Hard Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDB21,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDR04,Low Fat,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX23,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX19,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD40,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDA01,Regular,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDS33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDM50,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB29,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDF46,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDA33,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDC08,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDB53,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDY31,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRQ35,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDX36,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRD13,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDC52,Regular,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
