Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year,Item Weight,Item Visibility,Item MRP,Item Outlet Sales
FDV20,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.104704537,125.2678,254.3356
FDC08,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,19,0.173154079,228.272,452.744
NCK19,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998,9.8,0.151420934,194.3478,387.4956
FDC41,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.2047,76.867,229.701
FDJ22,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.09246392,190.9504,383.5008
FDX26,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.153741385,182.6292,182.4292
NCW53,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.053392944,193.8162,384.8324
FDT57,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,15.2,0.031860325,235.1248,474.0496
FDU02,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.179484411,228.9352,916.1408
FDW24,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.065652494,48.9034,48.6034
NCZ42,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,10.5,0,238.3248,711.0744
FDW35,low fat,Breads,OUT019,Small,Tier 1,Grocery Store,1985,0,0.0194158,41.6454,83.8908
FDR04,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,7.075,0.03777249,98.0068,291.6204
FDW23,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.143592939,37.3164,38.6164
DRH03,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.061393095,91.812,372.848
FDW27,Regular,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.264124669,155.7314,155.1314
FDS09,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.141975462,49.6008,50.6008
FDV51,Low Fat,Meat,OUT010,-,Tier 3,Grocery Store,1998,16.35,0.054463442,163.8842,165.7842
FDC02,Low Fat,Canned,OUT010,-,Tier 3,Grocery Store,1998,21.35,0.115194717,258.3278,520.6556
FDX14,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.13121032,74.0354,75.2354
FDH28,reg,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.192650072,37.4506,37.9506
NCT41,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.098031771,151.3024,151.8024
FDN09,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,14.15,0.05837308,243.9828,731.0484
FDB15,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,10.895,0.228993134,263.4568,527.3136
DRN36,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.087854925,95.9752,95.8752
FDQ37,Low Fat,Breakfast,OUT010,-,Tier 3,Grocery Store,1998,20.75,0.149404057,192.8478,774.9912
FDC15,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,18.1,0.297883712,156.7288,314.2576
NCD19,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,8.93,0.022059594,56.0614,276.307
NCE06,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.160178832,160.2894,323.5788
NCM55,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998,15.6,0.111685868,184.7924,370.1848
FDR49,Low Fat,Canned,OUT010,-,Tier 3,Grocery Store,1998,8.71,0.233039817,49.5376,95.8752
FDA44,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,19.7,0.089083914,54.593,56.593
FDB38,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0,160.692,319.584
FDD29,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,12.15,0.030815427,252.0698,1014.6792
FDW50,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.132327406,168.4158,334.2316
DRF03,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,19.1,0.075836522,40.2138,81.2276
FDE22,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.051778173,157.892,319.584
DRK35,Low Fat,Hard Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.125793938,36.2506,37.9506
FDE05,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0,145.2102,437.4306
FDZ01,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998,8.975,0.01516265,101.899,103.199
FDY07,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,11.8,0,46.5402,229.701
FDG20,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,15.5,0.210375806,178.2028,177.1028
FDU32,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,8.785,0,123.0414,121.8414
NCZ06,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.164864915,255.2698,761.0094
FDX57,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,17.25,0.079113947,99.2068,97.2068
DRI39,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,13.8,0.162462044,55.893,226.372
FDA14,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.114127418,147.176,585.904
FDS03,Low Fat,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.139419417,66.0826,258.3304
DRN47,Low Fat,Hard Drinks,OUT010,-,Tier 3,Grocery Store,1998,12.1,0.028164527,178.166,539.298
FDN15,Low Fat,Meat,OUT010,-,Tier 3,Grocery Store,1998,17.5,0.028009382,141.718,419.454
FDS03,Low Fat,Meat,OUT010,-,Tier 3,Grocery Store,1998,7.825,0.133281968,63.2826,129.1652
FDI41,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.109003832,145.2418,147.1418
FDE35,Regular,Starchy Foods,OUT010,-,Tier 3,Grocery Store,1998,7.06,0.073480266,58.8904,58.5904
DRD60,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.065188619,181.1634,181.7634
FDL48,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,19.35,0.137697119,47.1034,145.8102
FDK55,Low Fat,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.045105407,89.4172,178.4344
FDL56,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.220225608,85.6198,87.2198
FDT32,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.114916546,188.4214,565.2642
FDX26,LF,Dairy,OUT010,-,Tier 3,Grocery Store,1998,17.7,0.146973462,184.1292,547.2876
FDU13,low fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.328390948,146.0418,588.5672
DRM59,Low Fat,Hard Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.006289291,153.2998,461.3994
NCV30,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,20.2,0.110356797,62.051,126.502
NCQ05,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,11.395,0.03616416,150.1708,300.9416
FDU40,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,20.85,0.062606583,192.2478,387.4956
FDZ12,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0,144.847,143.147
DRK12,Low Fat,Soft Drinks,OUT010,-,Tier 3,Grocery Store,1998,9.5,0,32.89,33.29
DRG51,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,12.1,0.019314961,164.6526,657.8104
FDM56,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.122896411,111.1912,218.3824
DRM37,Low Fat,Soft Drinks,OUT010,-,Tier 3,Grocery Store,1998,15.35,0.161350176,196.6768,591.2304
FDW49,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.14453827,180.6002,895.501
FDK15,Low Fat,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.172309903,98.2042,198.4084
FDO49,Regular,Breakfast,OUT019,Small,Tier 1,Grocery Store,1985,0,0.05787008,49.7008,50.6008
FDQ24,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.12898088,250.4724,251.6724
FDF21,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,10.3,0.098464979,188.653,189.753
NCN14,Low Fat,Others,OUT019,Small,Tier 1,Grocery Store,1985,0,0.160936178,184.2608,367.5216
FDL38,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.02579577,88.4172,89.2172
FDO10,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,13.65,0.021343732,58.3588,114.5176
FDZ23,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,17.75,0.112985849,185.424,745.696
DRF23,Low Fat,Hard Drinks,OUT010,-,Tier 3,Grocery Store,1998,4.61,0.205294827,172.8396,174.4396
NCN43,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998,12.15,0.011314423,122.973,123.173
FDU22,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.163350221,120.2124,474.0496
FDP01,Regular,Breakfast,OUT010,-,Tier 3,Grocery Store,1998,20.75,0.105994654,150.5682,762.341
FDW56,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,7.68,0.118672537,192.2162,384.8324
FDO34,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,17.7,0.050111641,165.9816,167.7816
FDG31,Low Fat,Meat,OUT010,-,Tier 3,Grocery Store,1998,12.15,0.063430788,65.4826,258.3304
NCS54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,13.6,0.016726506,176.037,352.874
FDQ57,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.048932713,144.476,146.476
NCX29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.156094569,144.3102,145.8102
FDM02,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998,12.5,0.12341737,86.0198,87.2198
FDL52,reg,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,6.635,0.077145553,39.8506,75.9012
DRK37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.077046505,189.453,759.012
FDM28,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,15.7,0.075661985,181.366,179.766
NCY41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,16.75,0.126765903,35.7532,143.8128
FDC21,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.075215349,108.4254,217.0508
FDL13,Regular,Breakfast,OUT019,Small,Tier 1,Grocery Store,1985,0,0.098606543,232.73,932.12
NCA54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,16.5,0.061330521,178.7318,360.8636
NCF18,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,18.35,0.148938624,191.9504,767.0016
NCX41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,19,0,211.0244,1482.0708
FDA49,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.113669629,89.0198,174.4396
FDY52,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.012865901,59.3536,122.5072
FDL02,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.182236555,107.1622,211.7244
FDJ02,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.044063785,147.2418,294.2836
FDB34,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,15.25,0.044539371,85.3198,261.6594
FDD46,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.247321039,152.3998,153.7998
FDK45,Low Fat,Seafood,OUT019,Small,Tier 1,Grocery Store,1985,0,0.059281315,111.586,339.558
DRH01,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.171417316,173.0738,347.5476
DRH37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.072864869,165.2526,822.263
NCK06,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,5.03,0.014472516,122.0756,121.1756
DRH49,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.043168763,82.8592,165.1184
NCZ30,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,6.59,0.043828293,121.4098,241.0196
FDK08,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.214139786,102.4016,202.4032
FDO22,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,13.5,0.029893094,81.096,159.792
DRE37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.164966345,189.4872,189.0872
FDU60,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,20,0.100262068,169.6132,169.1132
FDZ33,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.188038372,146.4076,147.8076
DRM23,Low Fat,Hard Drinks,OUT010,-,Tier 3,Grocery Store,1998,16.6,0.227189581,173.9422,172.4422
FDI04,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.127660257,198.5426,790.9704
FDY24,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,4.88,0.223440258,52.2298,161.7894
FDK43,Low Fat,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.046994717,125.802,253.004
FDV28,Regular,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,16.1,0.267352587,34.9558,67.9116
FDT58,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,9,0.143870574,169.4816,503.3448
FDO23,Low Fat,Breads,OUT019,Small,Tier 1,Grocery Store,1985,0,0.25637539,94.8436,567.2616
NCI31,low fat,Others,OUT010,-,Tier 3,Grocery Store,1998,20,0.136124989,38.319,146.476
NCK29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0,123.473,369.519
FDM32,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,20.5,0,90.883,89.883
DRI11,Low Fat,Hard Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.060237465,115.9834,345.5502
FDJ55,Regular,Meat,OUT010,-,Tier 3,Grocery Store,1998,12.8,0.039385992,224.8404,1575.2828
FDO56,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,10.195,0.075291577,119.1808,351.5424
NCF19,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.061470858,48.6034,145.8102
FDQ03,Regular,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.136592891,238.0248,711.0744
FDR46,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.244102315,148.076,146.476
FDE16,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.046124444,206.7954,833.5816
NCW42,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,18.2,0.097865088,221.8456,884.1824
NCI54,LF,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.058827583,110.4912,436.7648
FDD16,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,20.5,0.060847634,75.0696,149.1392
FDW38,Regular,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0,55.9298,107.8596
NCX05,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.169943195,116.2492,115.8492
NCG18,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,15.3,0.038460297,104.0332,205.0664
FDK02,Low Fat,Canned,OUT010,-,Tier 3,Grocery Store,1998,12.5,0.187841082,119.244,119.844
FDQ31,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,5.785,0.0901292,89.8856,175.7712
FDS01,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.031069203,179.6686,177.7686
FDW34,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.062294473,242.417,486.034
NCJ17,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,7.68,0.255348289,84.4224,170.4448
FDL20,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.224837308,112.7886,222.3772
FDD57,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,18.1,0.037492325,95.5094,95.2094
FDE45,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.070660449,180.4002,716.4008
FDK52,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,18.25,0.132596101,226.2062,677.1186
NCK18,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,9.6,0.011211251,166.9184,660.4736
FDC04,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.078764059,241.3854,483.3708
FDU58,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,6.61,0.04855968,188.4898,187.0898
FDL09,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.22417463,168.8816,167.7816
FDG33,Regular,Seafood,OUT019,Small,Tier 1,Grocery Store,1985,0,0.245542627,172.2764,171.7764
FDD16,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.063649582,74.7696,74.5696
FDP11,Low Fat,Breads,OUT010,-,Tier 3,Grocery Store,1998,15.85,0.11566015,218.3166,435.4332
NCG43,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,20.2,0.124261614,93.6462,277.6386
FDL14,reg,Canned,OUT010,-,Tier 3,Grocery Store,1998,8.115,0.05382735,155.2972,311.5944
FDS45,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,5.175,0.04937018,106.7622,211.7244
FDD46,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,6.035,0.236433601,155.5998,153.7998
FDR43,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,18.2,0.270300331,38.319,109.857
NCQ06,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.073229342,254.1014,255.0014
FDG16,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.157257637,215.0192,1078.596
NCX30,LF,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.046609281,248.6776,495.3552
FDK03,Regular,Dairy,OUT010,-,Tier 3,Grocery Store,1998,12.6,0.123727659,253.0356,254.3356
FDZ59,Regular,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.182128363,165.65,665.8
DRP35,Low Fat,Hard Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.159096908,129.3336,127.8336
DRC25,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.079440262,86.7882,85.8882
FDO57,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,20.75,0.181958524,161.0578,481.3734
FDF16,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,7.3,0.144167934,146.3076,886.8456
FDP25,low fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.037131628,216.4824,218.3824
NCL05,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.083862625,44.077,216.385
FDK08,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,9.195,0.204713036,101.0016,202.4032
FDC28,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0,109.9254,108.5254
FDX21,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.148764535,111.1912,109.1912
FDW12,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,8.315,0.059540542,143.6444,145.1444
FDY09,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.044122209,173.8054,175.1054
FDU36,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.081014461,98.8384,492.692
FDE04,Regular,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,19.75,0.030166924,179.766,719.064
FDJ56,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.32111501,100.77,199.74
FDC10,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.127599399,118.9098,120.5098
FDW36,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.099681705,107.4622,317.5866
FDZ45,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,14.1,0.111936685,198.8084,992.042
FDA10,LF,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.248301532,124.1072,245.0144
FDZ58,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.091354948,122.3072,122.5072
FDE34,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,9.195,0.180588082,182.2634,363.5268
NCJ18,LF,Household,OUT010,-,Tier 3,Grocery Store,1998,12.35,0.274405193,117.1124,355.5372
FDX27,Regular,Dairy,OUT010,-,Tier 3,Grocery Store,1998,20.7,0.191008614,92.8436,189.0872
FDE33,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.086905536,78.8644,314.2576
NCH30,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,17.1,0.112402118,112.986,113.186
NCM29,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,11.5,0.029529474,132.6626,262.3252
NCU54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,8.88,0.165073642,207.727,209.727
FDH44,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,19.1,0.043304681,147.5418,294.2836
FDR59,Regular,Breads,OUT010,-,Tier 3,Grocery Store,1998,14.5,0.106894492,260.4594,1046.6376
FDH21,Low Fat,Seafood,OUT019,Small,Tier 1,Grocery Store,1985,0,0.054670967,158.6604,316.9208
FDR12,Regular,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.055213281,172.4764,687.1056
DRK49,LF,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0,40.5138,40.6138
