Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year,Item Weight,Item Visibility,Item MRP,Item Outlet Sales
FDP16,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type98,1999,18.6,0.039355947,246.3802,7370.406
FDB11,Low Fat,Starchy Foods,OUT035,Small,Tier 2,Supermarket Type99,2004,16,0.060836524,226.8404,6301.1312
NCB06,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type100,2004,17.6,0.082316506,160.692,1597.92
FDA45,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type101,2004,21.25,0.155350299,178.237,529.311
NCO26,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type102,2004,7.235,0.076841095,117.5492,1969.4364
DRJ25,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type103,2007,14.6,0.151419185,50.3692,1034.6532
FDX20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type104,1997,7.365,0.042560252,226.172,3169.208
FDN13,Low Fat,Breakfast,OUT017,-,Tier 2,Supermarket Type105,2007,18.6,0.152918384,99.8358,1910.1802
DRD24,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type106,2007,13.85,0.030969274,140.9154,1701.7848
FDQ28,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type107,1987,14,0.060376776,154.5656,2471.4496
FDM22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type108,1987,14,0.04192285,54.764,1331.6
DRF49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type109,1997,7.27,0.071077939,114.2518,2618.5914
FDW51,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type110,1997,6.155,0.094659871,214.556,2769.728
DRL01,Regular,Soft Drinks,OUT017,-,Tier 2,Supermarket Type111,2007,19.5,0.077608838,233.4958,5375.0034
FDP25,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type112,2007,15.2,0.021327477,216.8824,2838.9712
NCM43,Low Fat,Others,OUT035,Small,Tier 2,Supermarket Type113,2004,14.5,0.019471688,164.821,2120.573
FDK44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type114,2007,16.6,0.122918852,173.0738,3823.0236
FDM15,Regular,Meat,OUT013,High,Tier 3,Supermarket Type115,1987,11.8,0.057373797,151.4366,1360.2294
FDS31,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type116,1987,13.1,0.044155597,178.8318,3969.4996
FDB35,Regular,Starchy Foods,OUT045,-,Tier 2,Supermarket Type117,2002,12.3,0.064750025,92.6804,1010.6844
FDO24,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type118,2002,11.1,0.176573035,157.4604,3010.7476
FDV39,Low Fat,Meat,OUT045,-,Tier 2,Supermarket Type119,2002,11.3,0.007294652,198.1426,988.713
FDU50,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type120,1987,5.75,0.075107656,112.8176,1374.2112
NCW29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type121,1999,14,0.028907832,130.431,778.986
FDE04,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type122,2002,19.75,0.018059621,179.766,2336.958
NCB19,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type123,1999,6.525,0.090436094,85.0882,2233.0932
FDV15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type124,1999,10.3,0.146399712,103.9648,1661.8368
FDL58,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type125,1999,5.78,0.074264356,264.7568,4745.8224
FDA08,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type126,2002,11.85,0.050186726,164.1526,3124.5994
FDT20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type127,1997,10.5,0.041395445,37.6164,540.6296
FDB41,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type128,1997,19,0.097313129,48.0718,992.7078
NCN55,Low Fat,Others,OUT049,Medium,Tier 1,Supermarket Type129,1999,14.6,0.059582996,238.8538,6008.845
NCM53,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type130,2002,18.75,0.052146456,104.628,745.696
FDE36,Regular,Baking Goods,OUT035,Small,Tier 2,Supermarket Type131,2004,5.26,0.041764487,161.8868,3275.736
FDN57,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type132,2002,18.25,0.054344186,140.2154,1701.7848
FDI19,Low Fat,Meat,OUT046,Small,Tier 1,Supermarket Type133,1997,15.1,0.052339069,242.7512,4119.9704
FDG52,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type134,1999,13.65,0.065732883,45.7402,780.9834
DRF36,LF,Soft Drinks,OUT045,-,Tier 2,Supermarket Type135,2002,16.1,0.023625114,189.3846,3630.6074
DRK12,LF,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type136,2004,9.5,0.041878397,32.99,133.16
DRC27,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type137,2004,13.8,0.058091482,245.1802,5650.6446
FDL58,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type138,2007,5.78,0,263.7568,2636.568
NCD30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type139,2002,19.7,0.026903714,96.0726,1272.3438
FDX15,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type140,1987,17.2,0.15616879,160.6578,3690.5294
FDA39,LF,Meat,OUT035,Small,Tier 2,Supermarket Type141,2004,6.32,0,40.2822,1139.1838
FDY24,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type142,1999,4.88,0.133700752,52.9298,1995.4026
FDC60,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type143,2007,5.425,0.115119905,88.3514,1416.8224
FDH28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type144,1997,15.85,0.110030997,37.2506,265.6542
FDT25,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type145,2007,7.5,0.051038045,121.7072,3552.7088
DRJ13,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type146,1987,12.65,0.062837968,161.5578,2406.867
FDW20,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type147,1987,20.75,0.024129332,124.173,2956.152
FDS49,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type148,2004,9,0,79.7644,1649.8524
FDL56,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type149,2002,14.1,0.126035694,86.4198,1133.8574
FDF14,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type150,2004,7.55,0.027164679,152.334,2603.278
NCD06,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type151,1997,13,0.099325278,45.406,605.878
FDB35,Regular,Starchy Foods,OUT013,High,Tier 3,Supermarket Type152,1987,12.3,0.064565202,92.9804,1929.4884
NCR38,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type153,2002,17.25,0.113748685,251.3724,6795.1548
NCR18,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type154,2007,15.85,0.020603511,42.7112,639.168
NCU41,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type155,2004,18.85,0.052044976,192.1846,3248.4382
FDY56,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type156,2007,16.35,0.062764429,227.6062,7222.5984
DRJ51,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type157,2004,14.1,0.087977262,229.0668,3225.1352
FDK21,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type158,2004,7.905,0.010010425,249.0408,3755.112
FDY25,Low Fat,Canned,OUT013,High,Tier 3,Supermarket Type159,1987,12,0.033946163,179.3976,3440.8544
FDU44,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type160,2004,12.15,0.058414678,163.4552,974.7312
FDL43,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type161,1999,10.1,0.027106459,75.367,535.969
FDF05,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type162,2007,17.5,0.027022883,262.491,5259.82
FDV32,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type163,1999,7.785,0.088846306,61.451,759.012
FDJ34,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type164,1987,11.8,0.09357779,125.9704,1877.556
FDG08,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type165,2002,13.15,0.165694678,171.8764,3779.0808
FDW13,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type166,2007,8.5,0.098438394,51.1324,259.662
NCI17,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type167,1987,8.645,0.143303291,96.341,193.082
FDY03,Regular,Meat,OUT045,-,Tier 2,Supermarket Type168,2002,17.6,0.076276208,110.9202,1687.803
FDS12,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type169,2007,9.1,0.175103435,127.5362,4655.9394
FDJ55,Regular,Meat,OUT013,High,Tier 3,Supermarket Type170,1987,12.8,0.023511371,225.9404,4950.8888
DRK01,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type171,2004,7.63,0.06105276,95.4436,1418.154
FDG28,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type172,2007,9.285,0.049559042,246.4144,1225.072
FDY38,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type173,2002,13.6,0.119418124,231.03,5359.69
FDN01,Low Fat,Breakfast,OUT045,-,Tier 2,Supermarket Type174,2002,8.895,0.072545601,176.237,1764.37
NCR54,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type175,1987,16.35,0.090486828,195.211,2553.343
FDG29,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type176,1987,17.6,0.056245075,43.3454,1006.6896
FDG24,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type177,1987,7.975,0.014618973,85.225,1081.925
FDG59,Low Fat,Starchy Foods,OUT017,-,Tier 2,Supermarket Type178,2007,15.85,0.043479126,36.7164,308.9312
FDM28,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type179,1987,15.7,0.045166237,178.666,2516.724
FDW04,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type180,1997,8.985,0.057827101,128.831,1428.141
FDS26,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type181,1987,20.35,0.089394766,260.1594,2093.2752
FDQ56,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type182,1987,6.59,0.10550944,85.6908,1929.4884
FDK51,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type183,2004,19.85,0.005234153,264.0884,5829.7448
FDL22,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type184,1997,16.85,0.036390174,91.4488,2082.6224
FDY55,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type185,1987,16.75,0.081252534,256.4988,7452.9652
FDY03,Regular,Meat,OUT017,-,Tier 2,Supermarket Type186,2007,17.6,0.076552407,110.5202,450.0808
NCZ18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type187,2004,7.825,0.186032678,253.0698,6088.0752
DRE49,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type188,2007,20.75,0.021370201,153.0024,2277.036
FDT39,Regular,Meat,OUT035,Small,Tier 2,Supermarket Type189,2004,6.26,0.009866049,151.1366,2267.049
FDB57,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type190,2004,20.25,0.018801549,222.1772,5559.43
NCT54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type191,1999,8.695,0.119721451,95.5094,1237.7222
DRF49,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type192,2002,7.27,0.071222087,113.5518,569.259
FDF20,low fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type193,2002,12.85,0.033287541,198.4768,1379.5376
FDY59,Low Fat,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type194,1999,8.195,0.031452265,94.3462,925.462
FDK36,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type195,2004,7.09,0.00721395,47.9034,583.2408
NCM31,Low Fat,Others,OUT046,Small,Tier 1,Supermarket Type196,1997,6.095,0.081196619,141.4154,1418.154
FDE33,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type197,2007,19.35,0.049916364,80.2644,942.7728
FDU36,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type198,1997,6.15,0.04627095,99.3384,2364.9216
NCQ54,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type199,2004,17.7,0.012540003,167.0474,5895.659
DRE60,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type200,2002,9.395,0.159657596,224.972,7696.648
DRP47,Low Fat,Hard Drinks,OUT017,-,Tier 2,Supermarket Type201,2007,15.75,0.141398626,250.5382,2775.7202
FDB21,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type202,2002,7.475,0.148821808,241.2854,5317.0788
FDX23,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type203,1997,6.445,0.029691762,92.6436,1039.9796
FDX19,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type204,2004,19.1,0.096715523,235.0958,3038.0454
FDD40,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type205,2004,20.25,0.014790559,193.6162,3848.324
FDA01,Regular,Canned,OUT046,Small,Tier 1,Supermarket Type206,1997,15,0.054378253,59.1904,527.3136
FDS33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type207,1997,6.67,0.123428594,89.1514,2390.8878
FDB29,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type208,1987,16.7,0.052368061,112.7176,801.6232
FDF46,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type209,2002,7.07,0.093861144,115.5834,1267.0174
FDA33,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type210,2002,6.48,0.033968647,148.0076,886.8456
FDB53,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type211,2002,13.35,0.139735226,147.5392,3877.6192
FDX36,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type212,1999,9.695,0.12848269,223.9404,4950.8888
DRD13,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type213,2007,15,0.049357077,62.6168,958.752
FDC52,Regular,Dairy,OUT017,-,Tier 2,Supermarket Type214,2007,11.15,0.008326735,149.9708,1956.1204
FDB45,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type215,1999,20.85,0.021362955,103.2306,2404.2038
FDV51,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type216,1987,16.35,0.032511818,165.0842,994.7052
FDZ35,Regular,Breads,OUT045,-,Tier 2,Supermarket Type217,2002,9.6,0.022323658,101.299,1754.383
FDV59,Low Fat,Breads,OUT045,-,Tier 2,Supermarket Type218,2002,13.35,0.048124443,216.7166,3918.8988
DRH39,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type219,1987,20.7,0.09261307,76.367,306.268
FDU55,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type220,2002,16.2,0.035984104,260.6278,4425.5726
NCO43,Low Fat,Others,OUT046,Small,Tier 1,Supermarket Type221,1997,5.5,0.04709821,101.3016,3339.6528
