,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2129,2130,106.0,4.0,Spain,22000000.0,,6920,22.0,82.0,0,195.0,20.0,10.0,0.0,30,6.7,Good
3694,3695,128.0,0.0,India,,563699.0,3266,27.0,24.0,421,4.0,374.0,282.0,47.0,787,6.2,Good
4566,4567,94.0,1.0,USA,1000000.0,1744858.0,6084,120.0,51.0,671,112.0,1000.0,826.0,428.0,3085,7.0,Good
4802,4803,22.0,0.0,USA,,,7458,82.0,11.0,526,,59.0,11.0,6.0,81,8.2,Excellent
1204,1205,128.0,0.0,USA,40000000.0,95001343.0,66511,200.0,216.0,28000,241.0,11000.0,3000.0,898.0,16911,7.5,Good
3774,3775,108.0,2.0,New Zealand,5000000.0,3049135.0,50197,265.0,93.0,0,0.0,14000.0,433.0,88.0,14574,7.4,Good
1530,1531,97.0,0.0,USA,33000000.0,28927720.0,22220,181.0,103.0,463,10.0,18000.0,223.0,178.0,18688,5.3,Fair
3146,3147,84.0,1.0,USA,12600000.0,15417771.0,87494,540.0,191.0,0,36.0,2000.0,683.0,648.0,3416,6.1,Good
4571,4572,167.0,3.0,India,1000000.0,610991.0,2715,19.0,1.0,92,10.0,353.0,186.0,97.0,773,6.2,Good
2526,2527,160.0,6.0,France,17000000.0,273420.0,32671,238.0,173.0,0,219.0,1000.0,876.0,215.0,2340,5.5,Fair
1271,1272,116.0,0.0,USA,40000000.0,30199105.0,25346,167.0,110.0,470,18.0,2000.0,1000.0,249.0,3753,5.7,Fair
2917,2918,95.0,6.0,USA,11000000.0,101736215.0,315549,789.0,145.0,0,80.0,3000.0,1000.0,1000.0,8134,7.0,Good
76,77,118.0,4.0,USA,175000000.0,150167630.0,174578,534.0,250.0,0,208.0,23000.0,2000.0,570.0,26683,5.8,Fair
2964,2965,100.0,1.0,USA,12000000.0,12902790.0,4052,88.0,24.0,242,98.0,1000.0,849.0,604.0,3250,6.6,Good
1221,1222,109.0,2.0,USA,40000000.0,83906114.0,104481,189.0,191.0,16000,415.0,982.0,971.0,119.0,2357,6.0,Fair
4066,4067,100.0,1.0,USA,3000000.0,15369573.0,2580,54.0,16.0,710,32.0,610.0,232.0,175.0,1441,5.3,Fair
5006,5007,93.0,4.0,UK,,9609.0,2646,22.0,53.0,535,214.0,177.0,95.0,59.0,365,6.5,Good
2579,2580,118.0,1.0,USA,16000000.0,2849142.0,24104,88.0,146.0,0,369.0,1000.0,418.0,295.0,1889,7.2,Good
3438,3439,94.0,0.0,USA,10000000.0,17544812.0,69989,384.0,252.0,0,0.0,1000.0,683.0,658.0,4707,5.4,Fair
2817,2818,90.0,0.0,USA,14000000.0,1752214.0,60460,104.0,87.0,14000,0.0,1000.0,872.0,767.0,4377,7.7,Good
1001,1002,125.0,3.0,USA,40000000.0,26616999.0,92461,347.0,298.0,43000,487.0,430.0,329.0,201.0,1300,5.9,Fair
2903,2904,101.0,2.0,USA,,,3256,44.0,7.0,337,19.0,490.0,185.0,135.0,1166,7.8,Good
3290,3291,126.0,0.0,USA,20000000.0,17804273.0,20449,370.0,136.0,1000,37.0,12000.0,10000.0,883.0,25660,7.0,Good
4583,4584,135.0,1.0,USA,65000000.0,43982842.0,125114,593.0,308.0,16000,0.0,873.0,559.0,310.0,2369,6.7,Good
2212,2213,107.0,2.0,USA,20000000.0,36874745.0,12276,117.0,122.0,21000,58.0,141.0,76.0,47.0,389,6.3,Good
2333,2334,103.0,1.0,Japan,2127519898.0,410388.0,13727,79.0,105.0,973,78.0,488.0,336.0,101.0,991,6.9,Good
2660,2661,99.0,3.0,USA,15000000.0,33860010.0,33088,143.0,128.0,0,3.0,14000.0,982.0,628.0,16461,4.8,Fair
4795,4796,90.0,1.0,USA,400000.0,1689999.0,3675,48.0,69.0,426,25.0,231.0,200.0,138.0,771,7.1,Good
2031,2032,94.0,0.0,USA,25000000.0,32416109.0,109620,268.0,271.0,15000,293.0,18000.0,12000.0,939.0,32474,6.2,Good
2308,2309,106.0,0.0,Mexico,20000000.0,6420319.0,15978,122.0,45.0,15000,38.0,1000.0,1000.0,975.0,5705,7.4,Good
639,640,117.0,0.0,USA,,27550735.0,27481,113.0,178.0,12000,44.0,788.0,562.0,531.0,3524,6.8,Good
155,156,97.0,0.0,USA,145000000.0,103400692.0,123553,174.0,256.0,25000,52.0,20000.0,315.0,161.0,20645,7.3,Good
4105,4106,110.0,0.0,USA,3500000.0,2848578.0,3942,65.0,19.0,0,13.0,439.0,399.0,221.0,1567,6.3,Good
3903,3904,109.0,0.0,USA,,10941801.0,12059,486.0,74.0,2000,0.0,847.0,670.0,428.0,2649,5.4,Fair
4785,4786,89.0,2.0,USA,439000.0,2300000.0,7921,97.0,65.0,439,24.0,610.0,105.0,45.0,995,7.7,Good
4468,4469,88.0,0.0,Canada,1750000.0,,1339,46.0,18.0,220,4.0,232.0,23.0,13.0,289,4.3,Fair
3746,3747,107.0,0.0,USA,5000000.0,12200000.0,7973,65.0,29.0,0,8.0,926.0,400.0,268.0,2383,6.3,Good
3721,3722,102.0,0.0,Australia,3500000.0,,5894,56.0,18.0,0,18.0,492.0,155.0,75.0,854,7.3,Good
3105,3106,90.0,6.0,USA,10000000.0,40485039.0,85362,181.0,81.0,0,65.0,18000.0,769.0,730.0,20795,6.9,Good
3637,3638,104.0,0.0,China,6000000.0,1346503.0,3024,22.0,56.0,0,61.0,974.0,595.0,451.0,2430,6.1,Good
4521,4522,110.0,1.0,Canada,1100000.0,56129.0,6555,82.0,97.0,0,22.0,434.0,95.0,48.0,645,6.1,Good
3480,3481,53.0,0.0,USA,,,170055,173.0,54.0,61000,,4000.0,1000.0,1000.0,19949,9.0,Excellent
3693,3694,103.0,2.0,USA,5100000.0,,21049,249.0,41.0,0,82.0,208.0,191.0,32.0,454,7.3,Good
4003,4004,81.0,0.0,USA,3000000.0,3293258.0,11399,131.0,31.0,0,0.0,560.0,555.0,542.0,2238,5.2,Fair
424,425,135.0,0.0,USA,60000000.0,31111260.0,77029,466.0,149.0,0,36.0,894.0,345.0,106.0,1439,5.4,Fair
4931,4932,88.0,0.0,USA,1200000.0,110720.0,524,22.0,18.0,73,14.0,142.0,23.0,3.0,168,7.3,Good
3115,3116,109.0,1.0,USA,10000000.0,33000000.0,9424,109.0,55.0,0,78.0,854.0,841.0,619.0,3394,6.9,Good
828,829,103.0,0.0,USA,57000000.0,51317350.0,78343,139.0,60.0,0,357.0,2000.0,663.0,40.0,2710,6.4,Good
2939,2940,92.0,1.0,USA,12000000.0,31397498.0,44130,156.0,172.0,0,0.0,17000.0,527.0,451.0,18765,5.4,Fair
2194,2195,110.0,1.0,USA,22000000.0,39263506.0,40469,135.0,165.0,0,119.0,1000.0,931.0,332.0,2382,6.1,Good
3950,3951,23.0,1.0,USA,,,7673,47.0,5.0,325,,254.0,248.0,218.0,915,6.1,Good
4993,4994,81.0,7.0,USA,50000.0,,66,2.0,7.0,83,3.0,26.0,20.0,18.0,70,7.4,Good
3940,3941,85.0,1.0,Australia,1500000.0,265107.0,4617,93.0,51.0,614,0.0,945.0,774.0,209.0,2282,6.3,Good
2405,2406,107.0,1.0,USA,15000000.0,59735548.0,290949,629.0,217.0,13000,323.0,1000.0,1000.0,794.0,4223,7.8,Good
3349,3350,160.0,2.0,India,,3827466.0,25122,102.0,25.0,0,0.0,964.0,551.0,417.0,2350,6.9,Good
1684,1685,96.0,2.0,USA,30000000.0,18967571.0,23345,167.0,105.0,629,845.0,978.0,968.0,488.0,3072,6.1,Good
4980,4981,75.0,2.0,USA,100000.0,,683,8.0,13.0,182,0.0,267.0,87.0,46.0,488,6.8,Good
2775,2776,99.0,4.0,USA,14000000.0,38048637.0,47814,426.0,101.0,0,9.0,975.0,912.0,648.0,3500,5.5,Fair
401,402,91.0,2.0,USA,85000000.0,148313048.0,164148,168.0,256.0,28000,266.0,12000.0,11000.0,11000.0,37142,7.1,Good
467,468,104.0,0.0,USA,80000000.0,79363785.0,139423,698.0,276.0,0,301.0,18000.0,4000.0,71.0,22194,5.5,Fair
1613,1614,98.0,0.0,USA,35000000.0,66359959.0,184641,326.0,452.0,81000,129.0,303.0,18.0,7.0,337,6.9,Good
4656,4657,86.0,2.0,USA,990000.0,,2706,23.0,16.0,549,63.0,489.0,207.0,175.0,1278,4.9,Fair
2865,2866,118.0,0.0,Ireland,13000000.0,14677654.0,161288,351.0,421.0,72000,412.0,805.0,681.0,491.0,2499,8.3,Excellent
1465,1466,108.0,0.0,USA,30000000.0,20981633.0,78256,492.0,270.0,0,251.0,826.0,716.0,296.0,2351,5.9,Fair
736,737,100.0,4.0,USA,60000000.0,90341670.0,102129,432.0,167.0,0,55.0,12000.0,1000.0,416.0,14611,5.5,Fair
3205,3206,106.0,1.0,USA,10000000.0,1939441.0,55567,144.0,221.0,20000,34.0,11000.0,11000.0,683.0,23187,6.9,Good
2074,2075,50.0,0.0,USA,,,1781,23.0,6.0,532,,787.0,748.0,543.0,3276,6.8,Good
499,500,97.0,0.0,Australia,80000000.0,18318000.0,24868,216.0,61.0,964,750.0,1000.0,971.0,231.0,2521,5.8,Fair
3366,3367,108.0,2.0,USA,8000000.0,34746109.0,3122,14.0,11.0,559,0.0,585.0,434.0,388.0,3023,5.6,Fair
32,33,108.0,0.0,USA,200000000.0,334185206.0,306320,736.0,451.0,24000,13000.0,40000.0,25000.0,11000.0,79957,6.5,Good
4426,4427,87.0,1.0,USA,1500000.0,163245.0,143086,211.0,120.0,0,0.0,309.0,8.0,8.0,352,8.6,Excellent
4344,4345,90.0,2.0,USA,1950000.0,,2032,15.0,23.0,620,58.0,405.0,217.0,164.0,1204,5.2,Fair
4840,4841,90.0,0.0,USA,350000.0,,476,18.0,8.0,53,0.0,502.0,119.0,32.0,689,3.2,Bad
3556,3557,108.0,1.0,USA,6500000.0,54215416.0,21409,63.0,18.0,0,7.0,699.0,63.0,51.0,936,6.8,Good
1245,1246,135.0,1.0,USA,40000000.0,45856732.0,46221,141.0,91.0,0,0.0,13000.0,936.0,913.0,16762,7.1,Good
